id,from,to
3281,ruminant.n.01,deer.n.01
3282,deer.n.01,sambar.n.01
3283,mammal.n.01,placental.n.01
3284,placental.n.01,carnivore.n.01
3285,carnivore.n.01,bear.n.01
3286,bear.n.01,brown_bear.n.01
3287,brown_bear.n.01,alaskan_brown_bear.n.01
3288,mammal.n.01,placental.n.01
3289,placental.n.01,rodent.n.01
3290,rodent.n.01,agouti.n.01
3291,mammal.n.01,placental.n.01
3292,placental.n.01,ungulate.n.01
3293,ungulate.n.01,odd-toed_ungulate.n.01
3294,odd-toed_ungulate.n.01,equine.n.01
3295,equine.n.01,horse.n.01
3296,horse.n.01,racehorse.n.01
3297,racehorse.n.01,thoroughbred.n.02
3298,thoroughbred.n.02,gallant_fox.n.01
3299,mammal.n.01,placental.n.01
3300,placental.n.01,ungulate.n.01
3301,ungulate.n.01,even-toed_ungulate.n.01
3302,even-toed_ungulate.n.01,ruminant.n.01
3303,ruminant.n.01,giraffe.n.01
3304,giraffe.n.01,okapi.n.01
3305,mammal.n.01,placental.n.01
3306,placental.n.01,carnivore.n.01
3307,carnivore.n.01,canine.n.02
3308,canine.n.02,dog.n.01
3309,dog.n.01,hunting_dog.n.01
3310,hunting_dog.n.01,terrier.n.01
3311,terrier.n.01,wirehair.n.01
3312,wirehair.n.01,welsh_terrier.n.01
3313,welsh_terrier.n.01,sealyham_terrier.n.01
3314,mammal.n.01,placental.n.01
3315,placental.n.01,ungulate.n.01
3316,ungulate.n.01,odd-toed_ungulate.n.01
3317,odd-toed_ungulate.n.01,equine.n.01
3318,equine.n.01,zebra.n.01
3319,zebra.n.01,mountain_zebra.n.01
3320,mammal.n.01,placental.n.01
3321,placental.n.01,carnivore.n.01
3322,carnivore.n.01,canine.n.02
3323,canine.n.02,dog.n.01
3324,dog.n.01,working_dog.n.01
3325,working_dog.n.01,bulldog.n.01
3326,mammal.n.01,placental.n.01
3327,placental.n.01,carnivore.n.01
3328,carnivore.n.01,canine.n.02
3329,canine.n.02,fox.n.01
3330,fox.n.01,arctic_fox.n.01
3331,mammal.n.01,placental.n.01
3332,placental.n.01,ungulate.n.01
3333,ungulate.n.01,odd-toed_ungulate.n.01
3334,odd-toed_ungulate.n.01,equine.n.01
3335,equine.n.01,horse.n.01
3336,horse.n.01,saddle_horse.n.01
3337,saddle_horse.n.01,cow_pony.n.01
3338,mammal.n.01,placental.n.01
3339,placental.n.01,ungulate.n.01
3340,ungulate.n.01,odd-toed_ungulate.n.01
3341,odd-toed_ungulate.n.01,equine.n.01
3342,equine.n.01,horse.n.01
3343,horse.n.01,racehorse.n.01
3344,racehorse.n.01,thoroughbred.n.02
3345,mammal.n.01,placental.n.01
3346,placental.n.01,rodent.n.01
3347,rodent.n.01,wood_rat.n.01
3348,wood_rat.n.01,vole.n.01
3349,vole.n.01,meadow_vole.n.01
3350,mammal.n.01,placental.n.01
3351,placental.n.01,carnivore.n.01
3352,carnivore.n.01,musteline_mammal.n.01
3353,musteline_mammal.n.01,otter.n.02
3354,otter.n.02,eurasian_otter.n.01
3355,mammal.n.01,placental.n.01
3356,placental.n.01,carnivore.n.01
3357,carnivore.n.01,canine.n.02
3358,canine.n.02,dog.n.01
3359,dog.n.01,working_dog.n.01
3360,working_dog.n.01,shepherd_dog.n.01
3361,shepherd_dog.n.01,border_collie.n.01
3362,mammal.n.01,placental.n.01
3363,placental.n.01,carnivore.n.01
3364,carnivore.n.01,canine.n.02
3365,canine.n.02,dog.n.01
3366,dog.n.01,griffon.n.02
3367,griffon.n.02,brabancon_griffon.n.01
3368,mammal.n.01,placental.n.01
3369,placental.n.01,carnivore.n.01
3370,carnivore.n.01,viverrine.n.01
3371,viverrine.n.01,civet.n.01
3372,civet.n.01,small_civet.n.01
3373,mammal.n.01,placental.n.01
3374,placental.n.01,carnivore.n.01
3375,carnivore.n.01,canine.n.02
3376,canine.n.02,dog.n.01
3377,dog.n.01,hunting_dog.n.01
3378,hunting_dog.n.01,hound.n.01
3379,hound.n.01,staghound.n.01
3380,mammal.n.01,placental.n.01
3381,placental.n.01,bat.n.01
3382,bat.n.01,carnivorous_bat.n.01
3383,carnivorous_bat.n.01,vespertilian_bat.n.01
3384,vespertilian_bat.n.01,serotine.n.01
3385,mammal.n.01,fossorial_mammal.n.01
3386,mammal.n.01,placental.n.01
3387,placental.n.01,rodent.n.01
3388,rodent.n.01,wood_rat.n.01
3389,wood_rat.n.01,dusky-footed_wood_rat.n.01
3390,mammal.n.01,placental.n.01
3391,placental.n.01,ungulate.n.01
3392,ungulate.n.01,even-toed_ungulate.n.01
3393,even-toed_ungulate.n.01,swine.n.01
3394,swine.n.01,warthog.n.01
3395,mammal.n.01,placental.n.01
3396,placental.n.01,ungulate.n.01
3397,ungulate.n.01,odd-toed_ungulate.n.01
3398,odd-toed_ungulate.n.01,equine.n.01
3399,equine.n.01,horse.n.01
3400,horse.n.01,racehorse.n.01
3401,racehorse.n.01,thoroughbred.n.02
3402,thoroughbred.n.02,omaha.n.04
3403,mammal.n.01,placental.n.01
3404,placental.n.01,carnivore.n.01
3405,carnivore.n.01,procyonid.n.01
3406,procyonid.n.01,raccoon.n.02
3407,mammal.n.01,placental.n.01
3408,placental.n.01,ungulate.n.01
3409,ungulate.n.01,even-toed_ungulate.n.01
3410,even-toed_ungulate.n.01,ruminant.n.01
3411,ruminant.n.01,bovid.n.01
3412,bovid.n.01,bovine.n.01
3413,bovine.n.01,cattle.n.01
3414,cattle.n.01,beef.n.01
3415,beef.n.01,longhorn.n.01
3416,mammal.n.01,placental.n.01
3417,placental.n.01,primate.n.02
3418,primate.n.02,monkey.n.01
3419,monkey.n.01,new_world_monkey.n.01
3420,new_world_monkey.n.01,titi.n.03
3421,mammal.n.01,placental.n.01
3422,placental.n.01,carnivore.n.01
3423,carnivore.n.01,musteline_mammal.n.01
3424,musteline_mammal.n.01,weasel.n.02
3425,weasel.n.02,ermine.n.02
3426,mammal.n.01,placental.n.01
3427,placental.n.01,carnivore.n.01
3428,carnivore.n.01,canine.n.02
3429,canine.n.02,dog.n.01
3430,dog.n.01,working_dog.n.01
3431,working_dog.n.01,watchdog.n.02
3432,watchdog.n.02,housedog.n.01
3433,mammal.n.01,placental.n.01
3434,placental.n.01,carnivore.n.01
3435,carnivore.n.01,feline.n.01
3436,feline.n.01,cat.n.01
3437,cat.n.01,domestic_cat.n.01
3438,domestic_cat.n.01,angora.n.04
3439,mammal.n.01,placental.n.01
3440,placental.n.01,rodent.n.01
3441,rodent.n.01,gerbil.n.01
3442,mammal.n.01,placental.n.01
3443,placental.n.01,pachyderm.n.01
3444,pachyderm.n.01,elephant.n.01
3445,elephant.n.01,mammoth.n.01
3446,mammal.n.01,placental.n.01
3447,placental.n.01,proboscidean.n.01
3448,proboscidean.n.01,elephant.n.01
3449,elephant.n.01,mammoth.n.01
3450,mammal.n.01,metatherian.n.01
3451,metatherian.n.01,marsupial.n.01
3452,marsupial.n.01,bandicoot.n.01
3453,bandicoot.n.01,rabbit-eared_bandicoot.n.01
3454,mammal.n.01,placental.n.01
3455,placental.n.01,rodent.n.01
3456,rodent.n.01,wood_rat.n.01
3457,wood_rat.n.01,vole.n.01
3458,vole.n.01,red-backed_mouse.n.01
3459,mammal.n.01,placental.n.01
3460,placental.n.01,rodent.n.01
3461,rodent.n.01,squirrel.n.01
3462,squirrel.n.01,chipmunk.n.01
3463,mammal.n.01,placental.n.01
3464,placental.n.01,rodent.n.01
3465,rodent.n.01,squirrel.n.01
3466,squirrel.n.01,american_flying_squirrel.n.01
3467,american_flying_squirrel.n.01,northern_flying_squirrel.n.01
3468,mammal.n.01,placental.n.01
3469,placental.n.01,rodent.n.01
3470,rodent.n.01,mouse.n.01
3471,mouse.n.01,wood_mouse.n.01
3472,wood_mouse.n.01,deer_mouse.n.01
3473,mammal.n.01,placental.n.01
3474,placental.n.01,primate.n.02
3475,primate.n.02,monkey.n.01
3476,monkey.n.01,old_world_monkey.n.01
3477,old_world_monkey.n.01,guenon.n.01
3478,guenon.n.01,vervet.n.01
3479,mammal.n.01,placental.n.01
3480,placental.n.01,rodent.n.01
3481,rodent.n.01,porcupine.n.01
3482,porcupine.n.01,new_world_porcupine.n.01
3483,mammal.n.01,placental.n.01
3484,placental.n.01,ungulate.n.01
3485,ungulate.n.01,odd-toed_ungulate.n.01
3486,odd-toed_ungulate.n.01,equine.n.01
3487,equine.n.01,mule.n.01
3488,mammal.n.01,placental.n.01
3489,placental.n.01,rodent.n.01
3490,rodent.n.01,cavy.n.01
3491,mammal.n.01,placental.n.01
3492,placental.n.01,ungulate.n.01
3493,ungulate.n.01,even-toed_ungulate.n.01
3494,even-toed_ungulate.n.01,ruminant.n.01
3495,ruminant.n.01,bovid.n.01
3496,bovid.n.01,antelope.n.01
3497,antelope.n.01,hartebeest.n.01
3498,mammal.n.01,placental.n.01
3499,placental.n.01,plantigrade_mammal.n.01
3500,mammal.n.01,placental.n.01
3501,placental.n.01,rodent.n.01
3502,rodent.n.01,mara.n.02
3503,mammal.n.01,placental.n.01
3504,placental.n.01,primate.n.02
3505,primate.n.02,hominoid.n.01
3506,hominoid.n.01,aegyptopithecus.n.01
3507,mammal.n.01,placental.n.01
3508,placental.n.01,ungulate.n.01
3509,ungulate.n.01,even-toed_ungulate.n.01
3510,even-toed_ungulate.n.01,ruminant.n.01
3511,ruminant.n.01,bovid.n.01
3512,bovid.n.01,antelope.n.01
3513,antelope.n.01,dik-dik.n.01
3514,mammal.n.01,placental.n.01
3515,placental.n.01,rodent.n.01
3516,rodent.n.01,mouse.n.01
3517,mouse.n.01,wood_mouse.n.01
3518,wood_mouse.n.01,pygmy_mouse.n.01
3519,mammal.n.01,placental.n.01
3520,placental.n.01,carnivore.n.01
3521,carnivore.n.01,canine.n.02
3522,canine.n.02,dog.n.01
3523,dog.n.01,hunting_dog.n.01
3524,hunting_dog.n.01,hound.n.01
3525,hound.n.01,redbone.n.01
3526,mammal.n.01,placental.n.01
3527,placental.n.01,carnivore.n.01
3528,carnivore.n.01,feline.n.01
3529,feline.n.01,big_cat.n.01
3530,big_cat.n.01,tiger.n.02
3531,tiger.n.02,tigress.n.01
3532,mammal.n.01,placental.n.01
3533,placental.n.01,aquatic_mammal.n.01
3534,aquatic_mammal.n.01,pinniped_mammal.n.01
3535,pinniped_mammal.n.01,seal.n.09
3536,seal.n.09,eared_seal.n.01
3537,eared_seal.n.01,fur_seal.n.01
3538,mammal.n.01,placental.n.01
3539,placental.n.01,primate.n.02
3540,primate.n.02,ape.n.01
3541,ape.n.01,anthropoid_ape.n.01
3542,anthropoid_ape.n.01,great_ape.n.01
3543,great_ape.n.01,gorilla.n.01
3544,gorilla.n.01,eastern_lowland_gorilla.n.01
3545,mammal.n.01,placental.n.01
3546,placental.n.01,lagomorph.n.01
3547,lagomorph.n.01,leporid.n.01
3548,leporid.n.01,rabbit.n.01
3549,rabbit.n.01,lapin.n.02
3550,mammal.n.01,placental.n.01
3551,placental.n.01,rodent.n.01
3552,rodent.n.01,mountain_chinchilla.n.01
3553,mammal.n.01,placental.n.01
3554,placental.n.01,carnivore.n.01
3555,carnivore.n.01,viverrine.n.01
3556,viverrine.n.01,genet.n.03
3557,mammal.n.01,placental.n.01
3558,placental.n.01,carnivore.n.01
3559,carnivore.n.01,feline.n.01
3560,feline.n.01,cat.n.01
3561,cat.n.01,domestic_cat.n.01
3562,domestic_cat.n.01,tortoiseshell.n.03
3563,mammal.n.01,placental.n.01
3564,placental.n.01,carnivore.n.01
3565,carnivore.n.01,canine.n.02
3566,canine.n.02,dog.n.01
3567,dog.n.01,hunting_dog.n.01
3568,hunting_dog.n.01,courser.n.03
3569,mammal.n.01,placental.n.01
3570,placental.n.01,bat.n.01
3571,bat.n.01,carnivorous_bat.n.01
3572,carnivorous_bat.n.01,leafnose_bat.n.01
3573,mammal.n.01,placental.n.01
3574,placental.n.01,carnivore.n.01
3575,carnivore.n.01,canine.n.02
3576,canine.n.02,dog.n.01
3577,dog.n.01,hunting_dog.n.01
3578,hunting_dog.n.01,terrier.n.01
3579,terrier.n.01,australian_terrier.n.01
3580,mammal.n.01,placental.n.01
3581,placental.n.01,carnivore.n.01
3582,carnivore.n.01,canine.n.02
3583,canine.n.02,dog.n.01
3584,dog.n.01,poodle.n.01
3585,poodle.n.01,miniature_poodle.n.01
3586,mammal.n.01,metatherian.n.01
3587,metatherian.n.01,marsupial.n.01
3588,marsupial.n.01,kangaroo.n.01
3589,kangaroo.n.01,wallaby.n.01
3590,wallaby.n.01,tree_wallaby.n.01
3591,mammal.n.01,placental.n.01
3592,placental.n.01,ungulate.n.01
3593,ungulate.n.01,even-toed_ungulate.n.01
3594,even-toed_ungulate.n.01,ruminant.n.01
3595,ruminant.n.01,bovid.n.01
3596,bovid.n.01,bison.n.01
3597,bison.n.01,american_bison.n.01
3598,mammal.n.01,placental.n.01
3599,placental.n.01,rodent.n.01
3600,rodent.n.01,cavy.n.01
3601,cavy.n.01,guinea_pig.n.02
3602,mammal.n.01,placental.n.01
3603,placental.n.01,rodent.n.01
3604,rodent.n.01,rat.n.01
3605,rat.n.01,bandicoot_rat.n.01
3606,mammal.n.01,placental.n.01
3607,placental.n.01,ungulate.n.01
3608,ungulate.n.01,even-toed_ungulate.n.01
3609,even-toed_ungulate.n.01,ruminant.n.01
3610,ruminant.n.01,bovid.n.01
3611,bovid.n.01,goat_antelope.n.01
3612,goat_antelope.n.01,takin.n.01
3613,mammal.n.01,metatherian.n.01
3614,metatherian.n.01,marsupial.n.01
3615,marsupial.n.01,dasyurid_marsupial.n.01
3616,dasyurid_marsupial.n.01,dasyure.n.01
3617,mammal.n.01,placental.n.01
3618,placental.n.01,carnivore.n.01
3619,carnivore.n.01,canine.n.02
3620,canine.n.02,dog.n.01
3621,dog.n.01,cur.n.01
3622,cur.n.01,feist.n.01
3623,mammal.n.01,placental.n.01
3624,placental.n.01,ungulate.n.01
3625,ungulate.n.01,odd-toed_ungulate.n.01
3626,odd-toed_ungulate.n.01,equine.n.01
3627,equine.n.01,horse.n.01
3628,horse.n.01,racehorse.n.01
3629,racehorse.n.01,mudder.n.01
3630,mammal.n.01,placental.n.01
3631,placental.n.01,ungulate.n.01
3632,ungulate.n.01,even-toed_ungulate.n.01
3633,even-toed_ungulate.n.01,ruminant.n.01
3634,ruminant.n.01,bovid.n.01
3635,bovid.n.01,bovine.n.01
3636,bovine.n.01,cattle.n.01
3637,mammal.n.01,placental.n.01
3638,placental.n.01,primate.n.02
3639,primate.n.02,monkey.n.01
3640,monkey.n.01,old_world_monkey.n.01
3641,mammal.n.01,placental.n.01
3642,placental.n.01,rodent.n.01
3643,rodent.n.01,wood_rat.n.01
3644,wood_rat.n.01,packrat.n.02
3645,packrat.n.02,dusky-footed_woodrat.n.01
3646,mammal.n.01,placental.n.01
3647,placental.n.01,carnivore.n.01
3648,carnivore.n.01,canine.n.02
3649,canine.n.02,dog.n.01
3650,dog.n.01,toy_dog.n.01
3651,toy_dog.n.01,japanese_spaniel.n.01
3652,mammal.n.01,placental.n.01
3653,placental.n.01,bat.n.01
3654,bat.n.01,carnivorous_bat.n.01
3655,carnivorous_bat.n.01,freetail.n.01
3656,freetail.n.01,pocketed_bat.n.01
3657,mammal.n.01,placental.n.01
3658,placental.n.01,carnivore.n.01
3659,carnivore.n.01,canine.n.02
3660,canine.n.02,dog.n.01
3661,dog.n.01,hunting_dog.n.01
3662,hunting_dog.n.01,sporting_dog.n.01
3663,sporting_dog.n.01,retriever.n.01
3664,retriever.n.01,chesapeake_bay_retriever.n.01
3665,mammal.n.01,placental.n.01
3666,placental.n.01,lagomorph.n.01
3667,lagomorph.n.01,leporid.n.01
3668,leporid.n.01,hare.n.01
3669,hare.n.01,jackrabbit.n.01
3670,jackrabbit.n.01,white-tailed_jackrabbit.n.01
3671,mammal.n.01,placental.n.01
3672,placental.n.01,tree_shrew.n.01
3673,mammal.n.01,placental.n.01
3674,placental.n.01,carnivore.n.01
3675,carnivore.n.01,feline.n.01
3676,feline.n.01,big_cat.n.01
3677,big_cat.n.01,lion.n.01
3678,lion.n.01,lionet.n.01
3679,mammal.n.01,placental.n.01
3680,placental.n.01,bat.n.01
3681,bat.n.01,carnivorous_bat.n.01
3682,carnivorous_bat.n.01,vespertilian_bat.n.01
3683,vespertilian_bat.n.01,cave_myotis.n.01
3684,mammal.n.01,placental.n.01
3685,placental.n.01,ungulate.n.01
3686,ungulate.n.01,even-toed_ungulate.n.01
3687,even-toed_ungulate.n.01,ruminant.n.01
3688,ruminant.n.01,bovid.n.01
3689,bovid.n.01,wild_sheep.n.01
3690,wild_sheep.n.01,mountain_sheep.n.01
3691,mammal.n.01,metatherian.n.01
3692,mammal.n.01,placental.n.01
3693,placental.n.01,carnivore.n.01
3694,carnivore.n.01,canine.n.02
3695,canine.n.02,dog.n.01
3696,dog.n.01,toy_dog.n.01
3697,toy_dog.n.01,toy_spaniel.n.01
3698,toy_spaniel.n.01,king_charles_spaniel.n.01
3699,mammal.n.01,placental.n.01
3700,placental.n.01,carnivore.n.01
3701,carnivore.n.01,canine.n.02
3702,canine.n.02,dog.n.01
3703,dog.n.01,working_dog.n.01
3704,working_dog.n.01,watchdog.n.02
3705,watchdog.n.02,pinscher.n.01
3706,pinscher.n.01,miniature_pinscher.n.01
3707,mammal.n.01,placental.n.01
3708,placental.n.01,carnivore.n.01
3709,carnivore.n.01,canine.n.02
3710,canine.n.02,dog.n.01
3711,dog.n.01,working_dog.n.01
3712,working_dog.n.01,shepherd_dog.n.01
3713,shepherd_dog.n.01,belgian_sheepdog.n.01
3714,belgian_sheepdog.n.01,groenendael.n.01
3715,mammal.n.01,placental.n.01
3716,placental.n.01,ungulate.n.01
3717,ungulate.n.01,even-toed_ungulate.n.01
3718,even-toed_ungulate.n.01,ruminant.n.01
3719,ruminant.n.01,bovid.n.01
3720,bovid.n.01,bovine.n.01
3721,bovine.n.01,cattle.n.01
3722,cattle.n.01,ox.n.01
3723,mammal.n.01,placental.n.01
3724,placental.n.01,rodent.n.01
3725,rodent.n.01,porcupine.n.01
3726,porcupine.n.01,old_world_porcupine.n.01
3727,old_world_porcupine.n.01,long-tailed_porcupine.n.01
3728,mammal.n.01,placental.n.01
3729,placental.n.01,bat.n.01
3730,bat.n.01,fruit_bat.n.01
3731,fruit_bat.n.01,cynopterus_sphinx.n.01
3732,mammal.n.01,placental.n.01
3733,placental.n.01,bat.n.01
3734,bat.n.01,fruit_bat.n.01
3735,fruit_bat.n.01,flying_fox.n.01
3736,mammal.n.01,placental.n.01
3737,placental.n.01,ungulate.n.01
3738,ungulate.n.01,even-toed_ungulate.n.01
3739,even-toed_ungulate.n.01,ruminant.n.01
3740,ruminant.n.01,deer.n.01
3741,mammal.n.01,placental.n.01
3742,placental.n.01,carnivore.n.01
3743,carnivore.n.01,viverrine.n.01
3744,viverrine.n.01,meerkat.n.01
3745,meerkat.n.01,suricate.n.01
3746,mammal.n.01,placental.n.01
3747,placental.n.01,carnivore.n.01
3748,carnivore.n.01,musteline_mammal.n.01
3749,musteline_mammal.n.01,polecat.n.02
3750,polecat.n.02,ferret.n.02
3751,mammal.n.01,placental.n.01
3752,placental.n.01,insectivore.n.01
3753,insectivore.n.01,shrew.n.02
3754,shrew.n.02,least_shrew.n.01
3755,mammal.n.01,placental.n.01
3756,placental.n.01,carnivore.n.01
3757,carnivore.n.01,canine.n.02
3758,canine.n.02,dog.n.01
3759,dog.n.01,working_dog.n.01
3760,working_dog.n.01,shepherd_dog.n.01
3761,shepherd_dog.n.01,belgian_sheepdog.n.01
3762,mammal.n.01,placental.n.01
3763,placental.n.01,carnivore.n.01
3764,carnivore.n.01,bear.n.01
3765,bear.n.01,american_black_bear.n.01
3766,mammal.n.01,placental.n.01
3767,placental.n.01,carnivore.n.01
3768,carnivore.n.01,canine.n.02
3769,canine.n.02,wild_dog.n.01
3770,wild_dog.n.01,dingo.n.01
3771,mammal.n.01,placental.n.01
3772,placental.n.01,primate.n.02
3773,primate.n.02,monkey.n.01
3774,monkey.n.01,old_world_monkey.n.01
3775,old_world_monkey.n.01,guenon.n.01
3776,guenon.n.01,talapoin.n.01
3777,mammal.n.01,placental.n.01
3778,placental.n.01,carnivore.n.01
3779,carnivore.n.01,canine.n.02
3780,canine.n.02,dog.n.01
3781,dog.n.01,hunting_dog.n.01
3782,hunting_dog.n.01,hound.n.01
3783,hound.n.01,basset.n.01
3784,mammal.n.01,placental.n.01
3785,placental.n.01,rodent.n.01
3786,rodent.n.01,marmot.n.01
3787,marmot.n.01,hoary_marmot.n.01
3788,mammal.n.01,placental.n.01
3789,placental.n.01,rodent.n.01
3790,rodent.n.01,sand_rat.n.01
3791,mammal.n.01,placental.n.01
3792,placental.n.01,carnivore.n.01
3793,carnivore.n.01,canine.n.02
3794,canine.n.02,dog.n.01
3795,dog.n.01,hunting_dog.n.01
3796,hunting_dog.n.01,terrier.n.01
3797,terrier.n.01,fox_terrier.n.01
3798,mammal.n.01,placental.n.01
3799,placental.n.01,ungulate.n.01
3800,ungulate.n.01,odd-toed_ungulate.n.01
3801,odd-toed_ungulate.n.01,equine.n.01
3802,equine.n.01,horse.n.01
3803,horse.n.01,workhorse.n.02
3804,workhorse.n.02,plow_horse.n.01
3805,mammal.n.01,placental.n.01
3806,placental.n.01,bat.n.01
3807,bat.n.01,carnivorous_bat.n.01
3808,carnivorous_bat.n.01,leafnose_bat.n.01
3809,leafnose_bat.n.01,hognose_bat.n.01
3810,mammal.n.01,placental.n.01
3811,placental.n.01,carnivore.n.01
3812,carnivore.n.01,canine.n.02
3813,canine.n.02,dog.n.01
3814,dog.n.01,toy_dog.n.01
3815,toy_dog.n.01,toy_spaniel.n.01
3816,toy_spaniel.n.01,papillon.n.01
3817,mammal.n.01,placental.n.01
3818,placental.n.01,primate.n.02
3819,primate.n.02,ape.n.01
3820,ape.n.01,anthropoid_ape.n.01
3821,anthropoid_ape.n.01,great_ape.n.01
3822,mammal.n.01,placental.n.01
3823,placental.n.01,carnivore.n.01
3824,carnivore.n.01,feline.n.01
3825,feline.n.01,cat.n.01
3826,cat.n.01,domestic_cat.n.01
3827,domestic_cat.n.01,mouser.n.01
3828,mammal.n.01,placental.n.01
3829,placental.n.01,aquatic_mammal.n.01
3830,aquatic_mammal.n.01,cetacean.n.01
3831,cetacean.n.01,whale.n.02
3832,whale.n.02,toothed_whale.n.01
3833,mammal.n.01,placental.n.01
3834,placental.n.01,ungulate.n.01
3835,ungulate.n.01,even-toed_ungulate.n.01
3836,even-toed_ungulate.n.01,ruminant.n.01
3837,ruminant.n.01,bovid.n.01
3838,bovid.n.01,bovine.n.01
3839,bovine.n.01,cattle.n.01
3840,cattle.n.01,cow.n.01
3841,mammal.n.01,placental.n.01
3842,placental.n.01,carnivore.n.01
3843,carnivore.n.01,musteline_mammal.n.01
3844,musteline_mammal.n.01,weasel.n.02
3845,weasel.n.02,muishond.n.01
3846,muishond.n.01,striped_muishond.n.01
3847,mammal.n.01,placental.n.01
3848,placental.n.01,ungulate.n.01
3849,ungulate.n.01,even-toed_ungulate.n.01
3850,even-toed_ungulate.n.01,ruminant.n.01
3851,ruminant.n.01,bovid.n.01
3852,bovid.n.01,antelope.n.01
3853,antelope.n.01,sassaby.n.01
3854,mammal.n.01,placental.n.01
3855,placental.n.01,primate.n.02
3856,primate.n.02,hominid.n.01
3857,hominid.n.01,homo.n.02
3858,homo.n.02,homo_sapiens.n.01
3859,homo_sapiens.n.01,homo_sapiens_sapiens.n.01
3860,mammal.n.01,placental.n.01
3861,placental.n.01,carnivore.n.01
3862,carnivore.n.01,musteline_mammal.n.01
3863,musteline_mammal.n.01,weasel.n.02
3864,weasel.n.02,muishond.n.01
3865,muishond.n.01,snake_muishond.n.01
3866,mammal.n.01,placental.n.01
3867,placental.n.01,carnivore.n.01
3868,carnivore.n.01,fissiped_mammal.n.01
3869,mammal.n.01,placental.n.01
3870,placental.n.01,buck.n.05
3871,buck.n.05,stag.n.02
3872,stag.n.02,royal.n.02
3873,mammal.n.01,placental.n.01
3874,placental.n.01,unguiculate.n.01
3875,mammal.n.01,placental.n.01
3876,placental.n.01,insectivore.n.01
3877,insectivore.n.01,hedgehog.n.02
3878,mammal.n.01,placental.n.01
3879,placental.n.01,carnivore.n.01
3880,carnivore.n.01,canine.n.02
3881,canine.n.02,bitch.n.04
3882,mammal.n.01,placental.n.01
3883,placental.n.01,bull.n.11
3884,mammal.n.01,placental.n.01
3885,placental.n.01,aquatic_mammal.n.01
3886,aquatic_mammal.n.01,cetacean.n.01
3887,cetacean.n.01,whale.n.02
3888,whale.n.02,baleen_whale.n.01
3889,mammal.n.01,placental.n.01
3890,placental.n.01,carnivore.n.01
3891,carnivore.n.01,feline.n.01
3892,feline.n.01,cat.n.01
3893,cat.n.01,domestic_cat.n.01
3894,domestic_cat.n.01,tom.n.02
3895,tom.n.02,gib.n.02
3896,mammal.n.01,placental.n.01
3897,placental.n.01,ungulate.n.01
3898,ungulate.n.01,odd-toed_ungulate.n.01
3899,odd-toed_ungulate.n.01,equine.n.01
3900,equine.n.01,zebra.n.01
3901,mammal.n.01,placental.n.01
3902,placental.n.01,ungulate.n.01
3903,ungulate.n.01,even-toed_ungulate.n.01
3904,even-toed_ungulate.n.01,ruminant.n.01
3905,ruminant.n.01,bovid.n.01
3906,bovid.n.01,antelope.n.01
3907,antelope.n.01,eland.n.01
3908,eland.n.01,giant_eland.n.01
3909,mammal.n.01,placental.n.01
3910,placental.n.01,primate.n.02
3911,primate.n.02,hominid.n.01
3912,hominid.n.01,javanthropus.n.01
3913,mammal.n.01,placental.n.01
3914,placental.n.01,carnivore.n.01
3915,carnivore.n.01,canine.n.02
3916,canine.n.02,hyena.n.01
3917,hyena.n.01,striped_hyena.n.01
3918,mammal.n.01,placental.n.01
3919,placental.n.01,carnivore.n.01
3920,carnivore.n.01,feline.n.01
3921,feline.n.01,cat.n.01
3922,cat.n.01,wildcat.n.03
3923,wildcat.n.03,margay.n.01
3924,mammal.n.01,placental.n.01
3925,placental.n.01,ungulate.n.01
3926,ungulate.n.01,odd-toed_ungulate.n.01
3927,odd-toed_ungulate.n.01,equine.n.01
3928,equine.n.01,ass.n.03
3929,ass.n.03,jack.n.12
3930,mammal.n.01,placental.n.01
3931,placental.n.01,carnivore.n.01
3932,carnivore.n.01,musteline_mammal.n.01
3933,musteline_mammal.n.01,skunk.n.04
3934,mammal.n.01,placental.n.01
3935,placental.n.01,rodent.n.01
3936,rodent.n.01,rat.n.01
3937,rat.n.01,pocket_rat.n.01
3938,pocket_rat.n.01,kangaroo_mouse.n.01
3939,mammal.n.01,placental.n.01
3940,placental.n.01,rodent.n.01
3941,rodent.n.01,lemming.n.01
3942,lemming.n.01,grey_lemming.n.01
3943,mammal.n.01,placental.n.01
3944,placental.n.01,ungulate.n.01
3945,ungulate.n.01,odd-toed_ungulate.n.01
3946,odd-toed_ungulate.n.01,equine.n.01
3947,equine.n.01,horse.n.01
3948,horse.n.01,workhorse.n.02
3949,workhorse.n.02,draft_horse.n.01
3950,draft_horse.n.01,carthorse.n.01
3951,mammal.n.01,placental.n.01
3952,placental.n.01,primate.n.02
3953,primate.n.02,monkey.n.01
3954,monkey.n.01,old_world_monkey.n.01
3955,old_world_monkey.n.01,colobus.n.01
3956,colobus.n.01,guereza.n.01
3957,mammal.n.01,placental.n.01
3958,placental.n.01,ungulate.n.01
3959,ungulate.n.01,even-toed_ungulate.n.01
3960,even-toed_ungulate.n.01,swine.n.01
3961,swine.n.01,razorback.n.01
3962,mammal.n.01,placental.n.01
3963,placental.n.01,carnivore.n.01
3964,carnivore.n.01,canine.n.02
3965,canine.n.02,dog.n.01
3966,dog.n.01,hunting_dog.n.01
3967,hunting_dog.n.01,sporting_dog.n.01
