id,A,B
3176,sperm_whale.n.01,placental.n.01
3177,secretariat.n.02,thoroughbred.n.02
3178,galloway.n.02,bovine.n.01
3179,greater_swiss_mountain_dog.n.01,placental.n.01
3180,stoat.n.01,mammal.n.01
3181,mink.n.03,mammal.n.01
3182,bonnet_macaque.n.01,macaque.n.01
3183,siamese_cat.n.01,placental.n.01
3184,old_world_least_weasel.n.01,mammal.n.01
3185,bat.n.01,mammal.n.01
3186,kangaroo.n.01,marsupial.n.01
3187,plott_hound.n.01,mammal.n.01
3188,coati.n.01,mammal.n.01
3189,brittany_spaniel.n.01,sporting_dog.n.01
3190,mara.n.02,mammal.n.01
3191,capuchin.n.02,mammal.n.01
3192,field_mouse.n.02,rodent.n.01
3193,pilot_whale.n.01,cetacean.n.01
3194,zebu.n.01,mammal.n.01
3195,quarter_horse.n.01,odd-toed_ungulate.n.01
3196,cocker_spaniel.n.01,sporting_dog.n.01
3197,gazelle.n.01,mammal.n.01
3198,pinscher.n.01,carnivore.n.01
3199,steller's_sea_cow.n.01,mammal.n.01
3200,japanese_deer.n.01,ungulate.n.01
3201,madagascar_cat.n.01,primate.n.02
3202,eastern_dasyure.n.01,dasyurid_marsupial.n.01
3203,gazella_subgutturosa.n.01,placental.n.01
3204,european_wood_mouse.n.01,field_mouse.n.02
3205,jird.n.01,mammal.n.01
3206,cynopterus_sphinx.n.01,bat.n.01
3207,brown_swiss.n.01,cattle.n.01
3208,bovid.n.01,mammal.n.01
3209,western_chimpanzee.n.01,primate.n.02
3210,sivapithecus.n.01,hominid.n.01
3211,right_whale.n.01,baleen_whale.n.01
3212,vaquita.n.01,mammal.n.01
3213,crab-eating_opossum.n.01,marsupial.n.01
3214,collared_pika.n.01,pika.n.01
3215,caracal.n.01,wildcat.n.03
3216,guano_bat.n.01,mammal.n.01
3217,tarsius_syrichta.n.01,tarsier.n.01
3218,american_badger.n.01,placental.n.01
3219,sewer_rat.n.01,mammal.n.01
3220,exmoor.n.01,even-toed_ungulate.n.01
3221,oryx.n.01,placental.n.01
3222,horseshoe_bat.n.01,leafnose_bat.n.01
3223,boston_bull.n.01,terrier.n.01
3224,deer_mouse.n.01,mouse.n.01
3225,harp_seal.n.01,aquatic_mammal.n.01
3226,black-and-tan_coonhound.n.01,dog.n.01
3227,stalking-horse.n.04,placental.n.01
3228,english_setter.n.01,canine.n.02
3229,two-toed_sloth.n.02,sloth.n.02
3230,stallion.n.01,odd-toed_ungulate.n.01
3231,bluetick.n.01,placental.n.01
3232,black_sheep.n.02,sheep.n.01
3233,old_english_sheepdog.n.01,shepherd_dog.n.01
3234,pole_horse.n.02,draft_horse.n.01
3235,borzoi.n.01,carnivore.n.01
3236,aoudad.n.01,mammal.n.01
3237,kuvasz.n.01,placental.n.01
3238,finback.n.01,placental.n.01
3239,walrus.n.01,mammal.n.01
3240,pygmy_mouse.n.01,rodent.n.01
3241,scottish_deerhound.n.01,mammal.n.01
3242,american_saddle_horse.n.01,ungulate.n.01
3243,brown_swiss.n.01,ungulate.n.01
3244,otterhound.n.01,hunting_dog.n.01
3245,bulldog.n.01,placental.n.01
3246,aegyptopithecus.n.01,mammal.n.01
3247,bison.n.01,placental.n.01
3248,caracal.n.01,mammal.n.01
3249,schnauzer.n.01,carnivore.n.01
3250,pacer.n.01,racehorse.n.01
3251,marsh_hare.n.01,rabbit.n.01
3252,pine_marten.n.01,mammal.n.01
3253,mantled_ground_squirrel.n.01,rodent.n.01
3254,greater_pichiciego.n.01,armadillo.n.01
3255,bellwether.n.02,mammal.n.01
3256,meadow_vole.n.01,wood_rat.n.01
3257,samoyed.n.03,canine.n.02
3258,grevy's_zebra.n.01,odd-toed_ungulate.n.01
3259,dryopithecine.n.01,mammal.n.01
3260,apar.n.01,placental.n.01
3261,muntjac.n.01,deer.n.01
3262,bullock.n.01,cattle.n.01
3263,brush-tailed_porcupine.n.01,placental.n.01
3264,devon.n.02,even-toed_ungulate.n.01
3265,gaur.n.01,asian_wild_ox.n.01
3266,big_brown_bat.n.01,placental.n.01
3267,camel.n.01,ungulate.n.01
3268,frosted_bat.n.01,mammal.n.01
3269,durham.n.02,ruminant.n.01
3270,blackbuck.n.01,mammal.n.01
3271,broadtail.n.02,sheep.n.01
3272,beagle.n.01,canine.n.02
3273,afghan_hound.n.01,canine.n.02
3274,meerkat.n.01,carnivore.n.01
3275,pouched_mole.n.01,metatherian.n.01
3276,tarsier.n.01,mammal.n.01
3277,western_chimpanzee.n.01,placental.n.01
3278,neandertal_man.n.01,placental.n.01
3279,dolphin.n.02,aquatic_mammal.n.01
3280,jack.n.12,ass.n.03
3281,capybara.n.01,placental.n.01
3282,siberian_husky.n.01,placental.n.01
3283,coydog.n.01,canine.n.02
3284,liver-spotted_dalmatian.n.01,dog.n.01
3285,jaguarundi.n.01,wildcat.n.03
3286,hack.n.07,equine.n.01
3287,steller_sea_lion.n.01,sea_lion.n.01
3288,dairy_cattle.n.01,even-toed_ungulate.n.01
3289,great_dane.n.01,carnivore.n.01
3290,humpback.n.03,mammal.n.01
3291,aberdeen_angus.n.01,placental.n.01
3292,prancer.n.01,horse.n.01
3293,sable_antelope.n.01,bovid.n.01
3294,harnessed_antelope.n.01,ungulate.n.01
3295,new_world_least_weasel.n.01,placental.n.01
3296,red_fox.n.03,placental.n.01
3297,hart.n.03,ruminant.n.01
3298,takin.n.01,even-toed_ungulate.n.01
3299,affirmed.n.01,placental.n.01
3300,welsh.n.03,bovid.n.01
3301,white_rhinoceros.n.01,placental.n.01
3302,toy_poodle.n.01,poodle.n.01
3303,spotted_skunk.n.01,mammal.n.01
3304,foxhound.n.01,carnivore.n.01
3305,sussex_spaniel.n.01,placental.n.01
3306,feline.n.01,placental.n.01
3307,water_vole.n.02,vole.n.01
3308,algeripithecus_minutus.n.01,mammal.n.01
3309,hack.n.07,placental.n.01
3310,siberian_husky.n.01,canine.n.02
3311,coydog.n.01,placental.n.01
3312,northern_flying_squirrel.n.01,placental.n.01
3313,police_dog.n.01,placental.n.01
3314,red_bat.n.01,bat.n.01
3315,african_elephant.n.01,elephant.n.01
3316,gayal.n.01,even-toed_ungulate.n.01
3317,palm_cat.n.01,civet.n.01
3318,kid.n.05,even-toed_ungulate.n.01
3319,sable_antelope.n.01,placental.n.01
3320,springbok.n.01,antelope.n.01
3321,great_pyrenees.n.01,mammal.n.01
3322,tom.n.02,carnivore.n.01
3323,curly-coated_retriever.n.01,mammal.n.01
3324,wirehair.n.01,dog.n.01
3325,slow_loris.n.01,placental.n.01
3326,california_sea_lion.n.01,mammal.n.01
3327,desmodus_rotundus.n.01,carnivorous_bat.n.01
3328,brown_bear.n.01,bear.n.01
3329,wombat.n.01,metatherian.n.01
3330,orange_bat.n.01,placental.n.01
3331,two-toed_sloth.n.02,edentate.n.01
3332,homo_habilis.n.01,primate.n.02
3333,virginia_deer.n.01,placental.n.01
3334,old_world_porcupine.n.01,mammal.n.01
3335,palomino.n.01,ungulate.n.01
3336,sporting_dog.n.01,mammal.n.01
3337,water_rat.n.03,mammal.n.01
3338,potoroo.n.01,metatherian.n.01
3339,otterhound.n.01,hound.n.01
3340,saki.n.03,primate.n.02
3341,boston_bull.n.01,dog.n.01
3342,pademelon.n.01,metatherian.n.01
3343,collie.n.01,working_dog.n.01
3344,potoroo.n.01,kangaroo.n.01
3345,alpaca.n.03,even-toed_ungulate.n.01
3346,corgi.n.01,mammal.n.01
3347,sassaby.n.01,ungulate.n.01
3348,lesser_rorqual.n.01,rorqual.n.01
3349,new_world_monkey.n.01,monkey.n.01
3350,macrotus.n.01,mammal.n.01
3351,right_whale.n.01,cetacean.n.01
3352,homo_sapiens_sapiens.n.01,homo_sapiens.n.01
3353,bowhead.n.01,mammal.n.01
3354,syrian_bear.n.01,placental.n.01
3355,guide_dog.n.01,working_dog.n.01
3356,water_vole.n.01,mammal.n.01
3357,lesser_ape.n.01,mammal.n.01
3358,hognose_bat.n.01,placental.n.01
3359,stud.n.04,stallion.n.01
3360,cardigan.n.02,corgi.n.01
3361,barren_ground_caribou.n.01,caribou.n.01
3362,attack_dog.n.01,mammal.n.01
3363,golden_retriever.n.01,sporting_dog.n.01
3364,sled_dog.n.01,dog.n.01
3365,palfrey.n.01,ungulate.n.01
3366,european_wood_mouse.n.01,rodent.n.01
3367,false_vampire.n.01,placental.n.01
3368,manchester_terrier.n.01,hunting_dog.n.01
3369,wild_horse.n.01,odd-toed_ungulate.n.01
3370,eastern_grey_squirrel.n.01,squirrel.n.01
3371,european_wildcat.n.01,mammal.n.01
3372,great_ape.n.01,anthropoid_ape.n.01
3373,antelope.n.01,ungulate.n.01
3374,hamster.n.01,placental.n.01
3375,mountain_goat.n.01,ungulate.n.01
3376,brown_bat.n.01,carnivorous_bat.n.01
3377,rat.n.01,rodent.n.01
3378,equine.n.01,odd-toed_ungulate.n.01
3379,grasshopper_mouse.n.01,wood_rat.n.01
3380,bullock.n.01,ungulate.n.01
3381,ice_bear.n.01,mammal.n.01
3382,stud.n.04,mammal.n.01
3383,bullock.n.02,bovine.n.01
3384,ground_squirrel.n.02,squirrel.n.01
3385,slow_loris.n.01,mammal.n.01
3386,california_sea_lion.n.01,placental.n.01
3387,rock_wallaby.n.01,metatherian.n.01
3388,pointer.n.04,placental.n.01
3389,springer_spaniel.n.01,sporting_dog.n.01
3390,doberman.n.01,canine.n.02
3391,pygmy_sperm_whale.n.01,aquatic_mammal.n.01
3392,coonhound.n.01,dog.n.01
3393,silky_anteater.n.01,edentate.n.01
3394,sea_lion.n.01,placental.n.01
3395,carthorse.n.01,mammal.n.01
3396,black-tailed_deer.n.01,placental.n.01
3397,samoyed.n.03,mammal.n.01
3398,pinche.n.01,marmoset.n.01
3399,mole_rat.n.01,rodent.n.01
3400,zebra.n.01,ungulate.n.01
3401,buck.n.05,mammal.n.01
3402,seeing_eye_dog.n.01,placental.n.01
3403,wharf_rat.n.02,mammal.n.01
3404,rock_wallaby.n.01,mammal.n.01
3405,english_springer.n.01,carnivore.n.01
3406,norfolk_terrier.n.01,placental.n.01
3407,humpback.n.03,baleen_whale.n.01
3408,grampus.n.02,whale.n.02
3409,walker_hound.n.01,canine.n.02
3410,hippopotamus.n.01,placental.n.01
3411,flying_mouse.n.01,flying_phalanger.n.01
3412,uakari.n.01,primate.n.02
3413,eastern_chimpanzee.n.01,anthropoid_ape.n.01
3414,boxer.n.04,working_dog.n.01
3415,crab-eating_macaque.n.01,mammal.n.01
3416,mongoose.n.01,carnivore.n.01
3417,marco_polo_sheep.n.01,wild_sheep.n.01
3418,addax.n.01,ruminant.n.01
3419,muntjac.n.01,placental.n.01
3420,ruminant.n.01,mammal.n.01
3421,uakari.n.01,new_world_monkey.n.01
3422,mandrill.n.01,mammal.n.01
3423,lionet.n.01,carnivore.n.01
3424,pallid_bat.n.01,carnivorous_bat.n.01
3425,snowshoe_hare.n.01,placental.n.01
3426,proboscis_monkey.n.01,monkey.n.01
3427,cetacean.n.01,placental.n.01
3428,red_fox.n.02,fox.n.01
3429,striped_skunk.n.01,carnivore.n.01
3430,pouched_mouse.n.01,marsupial.n.01
3431,boskop_man.n.01,homo_sapiens.n.01
3432,hooded_seal.n.01,aquatic_mammal.n.01
3433,collie.n.01,mammal.n.01
3434,brush-tailed_porcupine.n.01,mammal.n.01
3435,long-eared_bat.n.01,placental.n.01
3436,staghound.n.01,carnivore.n.01
3437,two-toed_sloth.n.01,edentate.n.01
3438,brahman.n.04,bovine.n.01
3439,bellwether.n.02,placental.n.01
3440,ibizan_hound.n.01,carnivore.n.01
3441,dolphin.n.02,cetacean.n.01
3442,setter.n.02,carnivore.n.01
3443,terrier.n.01,placental.n.01
3444,loir.n.01,placental.n.01
3445,kit_fox.n.02,carnivore.n.01
3446,australopithecine.n.01,primate.n.02
3447,sea_otter.n.01,mammal.n.01
3448,rogue_elephant.n.01,pachyderm.n.01
3449,springer.n.02,even-toed_ungulate.n.01
3450,bluetick.n.01,hunting_dog.n.01
3451,nonstarter.n.02,placental.n.01
3452,hare.n.01,leporid.n.01
3453,old_english_sheepdog.n.01,canine.n.02
3454,boar.n.02,ungulate.n.01
3455,shrew_mole.n.01,mole.n.06
3456,grizzly.n.01,placental.n.01
3457,anthropoid.n.02,placental.n.01
3458,whitetail_prairie_dog.n.01,mammal.n.01
3459,wire-haired_fox_terrier.n.01,placental.n.01
3460,malinois.n.01,working_dog.n.01
3461,stoat.n.01,ermine.n.02
3462,water_dog.n.02,carnivore.n.01
3463,lion.n.01,mammal.n.01
3464,pooch.n.01,placental.n.01
3465,irish_setter.n.01,carnivore.n.01
3466,new_world_least_weasel.n.01,mammal.n.01
3467,shih-tzu.n.01,toy_dog.n.01
3468,redbone.n.01,hound.n.01
3469,tamarau.n.01,ungulate.n.01
3470,dusky-footed_woodrat.n.01,rodent.n.01
3471,australian_terrier.n.01,carnivore.n.01
3472,american_mink.n.01,musteline_mammal.n.01
3473,bluetick.n.01,mammal.n.01
3474,malinois.n.01,shepherd_dog.n.01
3475,nail-tailed_wallaby.n.01,metatherian.n.01
3476,sable_antelope.n.01,mammal.n.01
3477,irish_water_spaniel.n.01,placental.n.01
3478,sealyham_terrier.n.01,hunting_dog.n.01
3479,whitetail_prairie_dog.n.01,prairie_dog.n.01
3480,roe_deer.n.01,placental.n.01
3481,mouflon.n.01,ruminant.n.01
3482,domestic_sheep.n.01,mammal.n.01
3483,bitch.n.04,placental.n.01
3484,spaniel.n.01,mammal.n.01
3485,rat_kangaroo.n.01,kangaroo.n.01
3486,javanthropus.n.01,mammal.n.01
3487,snake_muishond.n.01,musteline_mammal.n.01
3488,syrian_bear.n.01,bear.n.01
3489,nyala.n.02,ungulate.n.01
3490,gazella_subgutturosa.n.01,gazelle.n.01
3491,lhasa.n.02,dog.n.01
3492,brown_swiss.n.01,dairy_cattle.n.01
3493,airedale.n.01,terrier.n.01
3494,long-tailed_porcupine.n.01,old_world_porcupine.n.01
3495,carnivorous_bat.n.01,bat.n.01
3496,eastern_chimpanzee.n.01,ape.n.01
3497,spearnose_bat.n.01,mammal.n.01
3498,common_eland.n.01,placental.n.01
3499,black_fox.n.01,red_fox.n.03
3500,toy_manchester.n.01,canine.n.02
3501,racehorse.n.01,placental.n.01
3502,rat_terrier.n.01,carnivore.n.01
3503,golden_retriever.n.01,canine.n.02
3504,affenpinscher.n.01,canine.n.02
3505,gorilla.n.01,great_ape.n.01
3506,leveret.n.01,mammal.n.01
3507,rudapithecus.n.01,primate.n.02
3508,titi.n.03,primate.n.02
3509,appenzeller.n.01,mammal.n.01
3510,paca.n.01,rodent.n.01
3511,fallow_deer.n.01,placental.n.01
3512,gomphothere.n.01,placental.n.01
3513,german_short-haired_pointer.n.01,mammal.n.01
3514,pine_vole.n.01,vole.n.01
3515,harrier.n.02,carnivore.n.01
3516,caracal.n.01,carnivore.n.01
3517,lesser_ape.n.01,anthropoid_ape.n.01
3518,binturong.n.01,viverrine.n.01
3519,true_marmoset.n.01,marmoset.n.01
3520,civet.n.01,mammal.n.01
3521,sausage_dog.n.01,placental.n.01
3522,ayrshire.n.01,placental.n.01
3523,giant_schnauzer.n.01,canine.n.02
3524,sir_barton.n.01,racehorse.n.01
3525,sir_barton.n.01,thoroughbred.n.02
3526,bottlenose_dolphin.n.01,cetacean.n.01
3527,kelpie.n.02,mammal.n.01
3528,chickeree.n.01,tree_squirrel.n.01
3529,burro.n.01,placental.n.01
3530,heifer.n.01,bovine.n.01
3531,groenendael.n.01,shepherd_dog.n.01
3532,shrew.n.02,insectivore.n.01
3533,oryx.n.01,ungulate.n.01
3534,weimaraner.n.01,carnivore.n.01
3535,wallaby.n.01,kangaroo.n.01
3536,brocket.n.02,deer.n.01
3537,percheron.n.01,equine.n.01
3538,bernese_mountain_dog.n.01,canine.n.02
3539,kuvasz.n.01,watchdog.n.02
3540,packhorse.n.01,horse.n.01
3541,dun.n.01,placental.n.01
3542,otterhound.n.01,mammal.n.01
3543,black_rat.n.01,placental.n.01
3544,jack.n.12,ungulate.n.01
3545,snowshoe_hare.n.01,leporid.n.01
3546,pronghorn.n.01,placental.n.01
3547,ichneumon.n.01,mammal.n.01
3548,bear.n.01,carnivore.n.01
3549,groenendael.n.01,carnivore.n.01
3550,border_collie.n.01,shepherd_dog.n.01
3551,hudson_bay_collared_lemming.n.01,pied_lemming.n.01
3552,african_hunting_dog.n.01,carnivore.n.01
3553,kangaroo_mouse.n.01,placental.n.01
3554,coonhound.n.01,hound.n.01
3555,meadow_jumping_mouse.n.01,mammal.n.01
3556,thoroughbred.n.02,ungulate.n.01
3557,giant_schnauzer.n.01,schnauzer.n.01
3558,valley_pocket_gopher.n.01,mammal.n.01
3559,tailless_tenrec.n.01,tenrec.n.01
3560,dachshund.n.01,mammal.n.01
3561,black_squirrel.n.01,placental.n.01
3562,coondog.n.01,mammal.n.01
3563,cryptoprocta.n.01,civet.n.01
3564,kit_fox.n.02,canine.n.02
3565,new_world_porcupine.n.01,porcupine.n.01
3566,bonnet_macaque.n.01,mammal.n.01
3567,prairie_dog.n.01,placental.n.01
3568,beaver_rat.n.01,mammal.n.01
3569,stag.n.02,mammal.n.01
3570,common_raccoon.n.01,procyonid.n.01
3571,oryx.n.01,mammal.n.01
3572,mountain_gorilla.n.01,primate.n.02
3573,carnivore.n.01,mammal.n.01
3574,razorback.n.01,mammal.n.01
3575,tamarisk_gerbil.n.01,placental.n.01
3576,elephant.n.01,proboscidean.n.01
3577,devon.n.02,placental.n.01
3578,manul.n.01,mammal.n.01
3579,leopard_cat.n.01,carnivore.n.01
3580,homo_sapiens_sapiens.n.01,placental.n.01
3581,hartebeest.n.01,even-toed_ungulate.n.01
3582,gerbil.n.01,placental.n.01
3583,pinto.n.01,mammal.n.01
3584,afghan_hound.n.01,hound.n.01
3585,rice_rat.n.01,rodent.n.01
3586,old_world_monkey.n.01,primate.n.02
3587,blenheim_spaniel.n.01,carnivore.n.01
3588,staffordshire_bullterrier.n.01,terrier.n.01
3589,american_mastodon.n.01,mammal.n.01
3590,lion.n.01,carnivore.n.01
3591,marsupial.n.01,metatherian.n.01
3592,spotted_hyena.n.01,canine.n.02
3593,leopardess.n.01,carnivore.n.01
3594,jack.n.12,equine.n.01
3595,beagle.n.01,mammal.n.01
3596,gayal.n.01,ox.n.02
3597,toy_spaniel.n.01,canine.n.02
3598,pocketed_bat.n.01,mammal.n.01
3599,pug.n.01,canine.n.02
3600,secretariat.n.02,mammal.n.01
3601,crab-eating_opossum.n.01,mammal.n.01
3602,java_man.n.01,hominid.n.01
3603,tamarin.n.01,primate.n.02
3604,shetland_sheepdog.n.01,dog.n.01
3605,affirmed.n.01,ungulate.n.01
3606,white_rhinoceros.n.01,ungulate.n.01
3607,tiger_cat.n.01,wildcat.n.03
3608,tigress.n.01,placental.n.01
3609,white_whale.n.01,placental.n.01
3610,lhasa.n.02,terrier.n.01
3611,eskimo_dog.n.01,placental.n.01
3612,cavalry_horse.n.01,saddle_horse.n.01
3613,kitty.n.04,cat.n.01
3614,greater_swiss_mountain_dog.n.01,mammal.n.01
3615,rhinoceros.n.01,odd-toed_ungulate.n.01
3616,duplicidentata.n.01,mammal.n.01
3617,spaniel.n.01,canine.n.02
3618,heifer.n.01,placental.n.01
3619,hedgehog.n.02,insectivore.n.01
3620,harnessed_antelope.n.01,bovid.n.01
3621,gee-gee.n.01,odd-toed_ungulate.n.01
3622,staffordshire_bullterrier.n.01,bullterrier.n.01
3623,pony.n.02,placental.n.01
3624,angora.n.04,placental.n.01
3625,watchdog.n.02,carnivore.n.01
3626,jack.n.12,odd-toed_ungulate.n.01
3627,egyptian_cat.n.01,placental.n.01
3628,cotton_rat.n.01,placental.n.01
3629,brown_rat.n.01,rodent.n.01
3630,sable.n.05,carnivore.n.01
3631,bongo.n.02,mammal.n.01
3632,sled_dog.n.01,working_dog.n.01
3633,liger.n.01,mammal.n.01
3634,roan.n.02,odd-toed_ungulate.n.01
3635,common_zebra.n.01,placental.n.01
3636,antelope_squirrel.n.01,ground_squirrel.n.02
3637,guereza.n.01,colobus.n.01
3638,soft-coated_wheaten_terrier.n.01,mammal.n.01
3639,bernese_mountain_dog.n.01,placental.n.01
3640,brown_hyena.n.01,carnivore.n.01
3641,kuvasz.n.01,carnivore.n.01
3642,grampus.n.02,placental.n.01
3643,panther.n.02,carnivore.n.01
3644,mexican_pocket_mouse.n.01,mammal.n.01
3645,labrador_retriever.n.01,retriever.n.01
3646,chesapeake_bay_retriever.n.01,sporting_dog.n.01
3647,harbor_porpoise.n.01,porpoise.n.01
3648,spouter.n.03,mammal.n.01
3649,gerenuk.n.01,bovid.n.01
3650,alaska_fur_seal.n.01,aquatic_mammal.n.01
3651,alley_cat.n.01,cat.n.01
3652,mountain_beaver.n.01,placental.n.01
3653,marsupial.n.01,mammal.n.01
3654,badger.n.02,mammal.n.01
3655,water_chevrotain.n.01,chevrotain.n.01
3656,seeing_eye_dog.n.01,guide_dog.n.01
3657,english_springer.n.01,springer_spaniel.n.01
3658,common_shrew.n.01,insectivore.n.01
3659,southeastern_pocket_gopher.n.01,placental.n.01
3660,irish_setter.n.01,placental.n.01
3661,pouched_mouse.n.01,mammal.n.01
3662,tayra.n.01,mammal.n.01
3663,bloodhound.n.01,mammal.n.01
3664,european_rabbit.n.01,lagomorph.n.01
3665,woolly_monkey.n.01,placental.n.01
3666,sea_lion.n.01,eared_seal.n.01
3667,rhodesian_ridgeback.n.01,canine.n.02
3668,polo_pony.n.01,odd-toed_ungulate.n.01
3669,cheviot.n.01,ruminant.n.01
3670,eastern_chimpanzee.n.01,great_ape.n.01
3671,anteater.n.02,placental.n.01
3672,napu.n.01,mammal.n.01
3673,tibetan_terrier.n.01,dog.n.01
3674,heifer.n.01,ruminant.n.01
3675,whirlaway.n.01,odd-toed_ungulate.n.01
3676,freetail.n.01,placental.n.01
3677,bay.n.07,mammal.n.01
3678,boarhound.n.01,carnivore.n.01
3679,merino.n.01,mammal.n.01
3680,suricate.n.01,meerkat.n.01
3681,douroucouli.n.01,mammal.n.01
3682,charger.n.01,saddle_horse.n.01
3683,badger.n.02,carnivore.n.01
3684,sei_whale.n.01,rorqual.n.01
3685,lechwe.n.01,even-toed_ungulate.n.01
3686,alpaca.n.03,llama.n.01
3687,tarsier.n.01,placental.n.01
3688,tennessee_walker.n.01,odd-toed_ungulate.n.01
3689,cinnamon_bear.n.01,american_black_bear.n.01
3690,liver_chestnut.n.01,horse.n.01
3691,staffordshire_bullterrier.n.01,dog.n.01
3692,shepherd_dog.n.01,canine.n.02
3693,western_lowland_gorilla.n.01,primate.n.02
3694,java_man.n.01,mammal.n.01
3695,palm_cat.n.01,viverrine.n.01
3696,chigetai.n.01,ungulate.n.01
3697,cheviot.n.01,mammal.n.01
3698,hack.n.06,placental.n.01
3699,unguiculate.n.01,mammal.n.01
3700,golden_mole.n.01,insectivore.n.01
3701,alaskan_brown_bear.n.01,carnivore.n.01
3702,taguan.n.01,rodent.n.01
3703,cattle.n.01,placental.n.01
3704,cynopterus_sphinx.n.01,mammal.n.01
3705,ox.n.01,cattle.n.01
3706,toy_terrier.n.01,canine.n.02
3707,american_water_shrew.n.01,water_shrew.n.01
3708,jungle_cat.n.01,mammal.n.01
3709,deer.n.01,mammal.n.01
3710,ground_squirrel.n.02,mammal.n.01
3711,plott_hound.n.01,hound.n.01
3712,macrotus.n.01,bat.n.01
3713,gelding.n.01,ungulate.n.01
3714,saluki.n.01,carnivore.n.01
3715,whale.n.02,mammal.n.01
3716,vole.n.01,placental.n.01
3717,waterbuck.n.01,placental.n.01
3718,pademelon.n.01,wallaby.n.01
3719,norwegian_elkhound.n.01,dog.n.01
3720,blue_fox.n.01,carnivore.n.01
3721,leopard_cat.n.01,feline.n.01
3722,angwantibo.n.01,lemur.n.01
3723,new_world_monkey.n.01,primate.n.02
3724,citation.n.06,racehorse.n.01
3725,roe_deer.n.01,deer.n.01
3726,ass.n.03,equine.n.01
3727,urial.n.01,even-toed_ungulate.n.01
3728,liver_chestnut.n.01,odd-toed_ungulate.n.01
3729,manul.n.01,feline.n.01
3730,hunting_dog.n.01,dog.n.01
3731,doberman.n.01,mammal.n.01
3732,racehorse.n.01,equine.n.01
3733,three-year-old_horse.n.01,horse.n.01
3734,durham.n.02,mammal.n.01
3735,bobcat.n.01,lynx.n.02
3736,black_fox.n.01,mammal.n.01
3737,blackbuck.n.01,ruminant.n.01
3738,zebu.n.01,placental.n.01
3739,pole_horse.n.02,mammal.n.01
3740,male_horse.n.01,horse.n.01
3741,water_vole.n.01,vole.n.01
3742,leopardess.n.01,feline.n.01
3743,pollard.n.02,placental.n.01
3744,brocket.n.01,mammal.n.01
3745,eurasian_otter.n.01,placental.n.01
3746,canada_lynx.n.01,placental.n.01
3747,plains_pocket_mouse.n.01,rat.n.01
3748,hominid.n.01,placental.n.01
3749,antelope.n.01,mammal.n.01
3750,american_water_spaniel.n.01,sporting_dog.n.01
3751,two-year-old_horse.n.01,equine.n.01
3752,bottlenose_dolphin.n.01,dolphin.n.02
3753,atlantic_walrus.n.01,mammal.n.01
3754,tarsius_syrichta.n.01,placental.n.01
3755,mountain_paca.n.01,mammal.n.01
3756,vizsla.n.01,pointer.n.04
3757,jersey.n.05,ungulate.n.01
3758,silky_pocket_mouse.n.01,placental.n.01
3759,pallid_bat.n.01,mammal.n.01
3760,maltese.n.03,cat.n.01
3761,basset.n.01,placental.n.01
3762,pygmy_sperm_whale.n.01,placental.n.01
3763,tarpan.n.01,mammal.n.01
3764,indian_buffalo.n.01,old_world_buffalo.n.01
3765,pembroke.n.01,corgi.n.01
3766,california_sea_lion.n.01,aquatic_mammal.n.01
3767,virginia_deer.n.01,ruminant.n.01
3768,beaver_rat.n.01,water_rat.n.03
3769,kerry_blue_terrier.n.01,carnivore.n.01
3770,tiger_cat.n.01,carnivore.n.01
3771,goat.n.01,ruminant.n.01
3772,large_civet.n.01,mammal.n.01
3773,swamp_rabbit.n.02,leporid.n.01
3774,water_spaniel.n.01,hunting_dog.n.01
3775,serow.n.01,mammal.n.01
3776,razorback.n.01,even-toed_ungulate.n.01
3777,eurasian_badger.n.01,carnivore.n.01
3778,wether.n.01,placental.n.01
3779,elk.n.01,placental.n.01
3780,italian_greyhound.n.01,canine.n.02
3781,dik-dik.n.01,ruminant.n.01
3782,longhorn.n.01,even-toed_ungulate.n.01
3783,giant_panda.n.01,placental.n.01
3784,billy.n.02,bovid.n.01
3785,sporting_dog.n.01,canine.n.02
3786,samoyed.n.03,carnivore.n.01
3787,wolf.n.01,placental.n.01
3788,courser.n.03,canine.n.02
3789,elephant_seal.n.01,mammal.n.01
3790,old_world_buffalo.n.01,ruminant.n.01
3791,flying_fox.n.01,fruit_bat.n.01
3792,aegyptopithecus.n.01,primate.n.02
3793,anoa.n.01,even-toed_ungulate.n.01
3794,chamois.n.02,ruminant.n.01
3795,boar.n.02,placental.n.01
3796,mountain_zebra.n.01,equine.n.01
3797,golden_hamster.n.01,hamster.n.01
3798,oryx.n.01,even-toed_ungulate.n.01
3799,palomino.n.01,mammal.n.01
3800,rock_squirrel.n.01,ground_squirrel.n.02
3801,english_setter.n.01,sporting_dog.n.01
3802,ibizan_hound.n.01,hound.n.01
3803,jersey.n.05,cattle.n.01
3804,markhor.n.01,mammal.n.01
3805,belgian_sheepdog.n.01,mammal.n.01
3806,humpback.n.03,aquatic_mammal.n.01
3807,english_springer.n.01,mammal.n.01
3808,afghan_hound.n.01,mammal.n.01
3809,long-tailed_porcupine.n.01,mammal.n.01
3810,africander.n.01,even-toed_ungulate.n.01
3811,police_dog.n.01,carnivore.n.01
3812,longhorn.n.01,ruminant.n.01
3813,leopard_cat.n.01,cat.n.01
3814,bellwether.n.02,bovid.n.01
3815,river_otter.n.01,carnivore.n.01
